gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YCR023C,138.5032,-1.354342,0.23049064,1.954285e-9,1.491701e-8
YCR028C,29.08953,-1.501143,0.32715739,1.640206e-6,7.394335e-6
YCR041W,205.6864,-1.367553,0.29175086,1.22812e-6,5.685366e-6
YCR044C,42.30703,-1.088723,0.35165289,0.001124374,0.002949505
YCR061W,104.6478,-3.180488,0.36755927,8.856579e-21,5.028325e-19
YCR075C,4.814673,-1.962805,0.79641261,0.00110413,0.002904811
YCR079W,22.76612,-1.279363,0.40921129,8.064152e-4,0.002179417
YCR085W,24.54524,-1.054052,0.44817902,0.01052816,0.02185214
YCR091W,151.1029,-1.792059,0.41325895,3.082674e-6,1.310113e-5
YCR093W,392.0893,-1.089456,0.16781606,5.184561e-11,5.154493e-10
YCR097W,886.885,-2.095559,0.33925885,7.765283e-11,7.451617e-10
YDL006W,31.85232,-1.028677,0.3053608,4.653704e-4,0.001319963
YDL009C,67.86538,-2.690574,0.41447582,1.23788e-12,1.695869e-11
YDL021W,216.9169,-1.487484,0.36917352,2.028223e-5,7.432131e-5
YDL022C-A,10.18361,-1.344421,0.60097009,0.008885352,0.01878034
YDL022W,101.7176,-2.235119,0.34074024,4.359112e-12,5.266637e-11
YDL033C,24.0307,-1.570482,0.4081532,3.708223e-5,1.297367e-4
YDL046W,40.4005,-1.784891,0.39593804,1.439123e-6,6.55302e-6
YDL049C,24.43911,-2.562736,0.41254915,1.270016e-11,1.438519e-10
YDL052C,252.6182,-2.137051,0.24736659,6.596387999999999e-19,2.5669260000000004e-17
YDL066W,71.85316,-1.120002,0.27540757,2.745279e-5,9.838025e-5
YDL067C,30.43861,-1.019465,0.38555094,0.004920926,0.01106467
YDL078C,266.9048,-3.824321,0.3692505,2.0079699999999998e-28,3.746045e-26
YDL079C,659.7937,-2.541489,0.36070917,5.104562e-14,8.77459e-13
YDL085W,112.6008,-2.760039,0.3778974,3.100628e-15,6.59976e-14
YDL110C,167.1465,-1.648023,0.26678419,2.020739e-10,1.812949e-9
YDL120W,38.64761,-1.0307,0.31036775,5.509637e-4,0.001540222
YDL123W,110.4436,-3.28896,0.2845266,6.743804e-34,2.138797e-31
YDL124W,234.483,-1.026503,0.30491945,4.701254e-4,0.001332442
YDL125C,186.2171,-1.838854,0.24587892,1.705389e-14,3.135444e-13
YDL128W,49.4515,-2.784955,0.2995986,1.492501e-22,1.1008059999999999e-20
YDL130W-A,1328.83,-1.573821,0.31725759,2.347888e-7,1.232836e-6
YDL133C-A,191.5029,-1.510957,0.45546609,2.948196e-4,8.800192e-4
YDL137W,50.92126,-1.069765,0.39381408,0.003772411,0.008752159
YDL141W,35.20716,-1.078107,0.29653035,1.642588e-4,5.109827e-4
YDL146W,70.5534,-1.295974,0.31710015,2.072239e-5,7.584657e-5
YDL160C,53.85131,-1.652663,0.28866367,3.132455e-9,2.310368e-8
YDL168W,557.3225,-1.858182,0.32297264999999997,1.799792e-9,1.38713e-8
YDL169C,119.2805,-1.689155,0.57056912,6.451536e-4,0.001776704
YDL173W,496.8923,-1.178202,0.1896647,2.946471e-10,2.581418e-9
YDL178W,293.2138,-1.060037,0.20592719,1.636798e-7,8.866103e-7
YDL181W,73.39156,-1.656985,0.28637226,2.173078e-9,1.646814e-8
YDL183C,29.63642,-1.179268,0.3509063,4.088014e-4,0.001180258
YDL184C,223.7488,-1.646717,0.39929303,1.036922e-5,4.025212e-5
YDL194W,131.8096,-1.388614,0.25318323,1.832305e-8,1.177539e-7
YDL199C,68.485830000000007,-1.268528,0.25359571,2.856952e-7,1.480527e-6
YDL203C,34.5961,-1.119268,0.3031151,1.26462e-4,4.02685e-4
YDL204W,217.0137,-3.522219,0.45101098,4.259535e-18,1.43714e-16
YDL205C,124.7384,-1.350217,0.23192267,2.715402e-9,2.019202e-8
YDL206W,121.0764,-1.425126,0.18649247,9.355521e-15,1.798245e-13
YDL214C,88.41285,-1.649983,0.43902659,4.548747e-5,1.562985e-4
YDL215C,284.9221,-3.289542,0.25032285,1.841983e-42,1.6691e-39
YDL216C,36.92629,-1.105094,0.3272604,4.187308e-4,0.001203448
YDL222C,423.0215,-5.999491,0.60625863,6.415641999999999e-26,7.398985e-24
YDL223C,751.8885,-2.115387,0.48546291,1.228856e-6,5.685366e-6
YDL238C,25.72879,-1.732546,0.38830825,1.980998e-6,8.756424e-6
YDL247W,12.857,-1.452207,1.06958219,0.02136184,0.04097313
YDL248W,44.08349,-1.001692,0.47218292,0.0198073,0.03824587
YDR007W,84.18446,-2.696104,0.36258604,1.528073e-15,3.389009e-14
YDR016C,25.1832,-2.062913,0.50466164,4.525643e-6,1.87377e-5
YDR018C,144.604,-1.776779,0.27105786,1.390935e-11,1.56154e-10
YDR031W,128.9328,-3.083053,0.4747065,2.438826e-13,3.791537e-12
YDR034W-B,17.98802,-1.11172,0.54547225,0.02065029,0.03974053
YDR035W,59.71491,-1.082803,0.31480249,3.412257e-4,9.969573e-4
YDR038C,154.5241,-3.79466,0.76196956,5.850981e-10,4.870443e-9
YDR040C,77.39192,-3.037122,0.98662884,9.459568e-6,3.696983e-5
YDR046C,274.1881,-1.585437,0.14972879,1.2102600000000001e-26,1.476285e-24
YDR059C,25.95929,-1.471442,0.38997605,5.870643e-5,1.975464e-4
YDR066C,48.56126,-1.01097,0.44221644,0.01310238,0.02650141
YDR069C,148.4796,-1.50688,0.33554016,2.569005e-6,1.110027e-5
YDR072C,255.3116,-2.747128,0.2586611,2.953851e-28,4.804173e-26
YDR073W,305.5038,-2.344555,0.20762327,9.309804999999999e-31,2.460504e-28
YDR075W,16.58581,-1.238588,0.37898967,5.265892e-4,0.001479909
YDR077W,398.4632,-1.248714,0.24147312,1.20201e-7,6.653012e-7
