gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YOR287C,203.7908,1.608602,0.32340246,2.073165e-7,1.100426e-6
YOR293W,113.04,1.001376,0.36586401,0.003818015,0.008845022
YOR294W,87.55612,2.41658,0.33741005,3.579118e-14,6.395027e-13
YOR301W,15.14609,1.036943,0.41555915,0.007336595,0.01585554
YOR304C-A,16.45569,1.183763,0.43832037,0.00343728,0.008060135
YOR305W,196.082,1.591387,0.23043275,1.716692e-12,2.273274e-11
YOR306C,157.9275,1.387774,0.26368026,6.236237e-8,3.607037e-7
YOR308C,382.8926,1.197133,0.22575886,6.238247e-8,3.607037e-7
YOR310C,1635.206,2.125244,0.31788666,2.588939e-12,3.317503e-11
YOR311C,28.10383,1.139117,0.38535268,0.001673629,0.004186051
YOR315W,37.21043,1.753214,0.34914266,1.252082e-7,6.910487e-7
YOR326W,792.4199,1.572505,0.18838619,2.5234450000000002e-17,7.376135e-16
YOR336W,205.0264,1.151135,0.18426323,2.415055e-10,2.133523e-9
YOR337W,55.29758,1.970795,0.33731672,8.238329e-10,6.690873e-9
YOR338W,27.72375,1.427528,0.55343723,0.003263703,0.00769007
YOR340C,114.5663,2.5724,0.30989133,2.646552e-18,9.22367e-17
YOR341W,339.5641,1.663458,0.24686678,4.913089e-12,5.879948e-11
YOR346W,75.03091,1.295672,0.24559495,6.505182e-8,3.747717e-7
YOR355W,237.3961,2.472603,0.25790274,3.5826920000000004e-23,2.840627e-21
YOR361C,216.9221,1.332056,0.15259049,1.252274e-18,4.6724540000000006e-17
